Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mesures.json	17476	-	0	0	0	0	0	0	5	347	0	0	0	0	0	0	0	0	0	0	32	150	147	0	0	0	5	0	0
fsh-generated/resources/Bundle-bundle-example-body-weight.json	3448	22	0	0	0	1	23	0	0	1318	0	0	0	0	0	0	0	1	0	0	8	23	483	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-example-lipids.json	6666	22	0	0	0	0	20	0	1	211	0	0	0	0	0	0	0	0	0	0	8	42	228	0	0	0	0	0	0
fsh-generated/resources/Device-phd-74E8FFFEFF051C00.json	3916	19	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	8	30	11	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-cholesterol-dr.json	731	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	19	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBP001.json	2655	18	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	7	18	17	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBmi001.json	1064	19	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	5	11	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyHeight001.json	823	18	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	5	11	12	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyTemperature001.json	858	17	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	5	11	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationBodyWeight001.json	1205	20	0	0	0	0	0	0	1	196	0	0	0	0	0	0	0	0	0	0	6	12	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrObservationHeartrate001.json	860	18	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	5	15	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrOxygenSat.json	865	17	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	6	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesFrRespRate.json	809	17	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	5	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationGlucose001.json	2214	21	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	4	17	9	0	0	0	0	0	1
fsh-generated/resources/Observation-ExampleMesObservationHeadCircumference001.json	837	17	1	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	5	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-ExampleMesObservationPainSeverity001.json	1037	20	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	4	12	7	0	0	0	0	0	0
